	0
PTPRU	PTPRU
LINC01756	LINC01756
AC092265.1	AC092265.1
AL645944.2	AL645944.2
LINC01648	LINC01648
AL137076.1	AL137076.1
AL161638.2	AL161638.2
AL161638.1	AL161638.1
MATN1	MATN1
MATN1-AS1	MATN1-AS1
LAPTM5	LAPTM5
AL137027.1	AL137027.1
LINC01778	LINC01778
AL445235.1	AL445235.1
SDC3	SDC3
PUM1	PUM1
NKAIN1	NKAIN1
SNRNP40	SNRNP40
ZCCHC17	ZCCHC17
AL451070.1	AL451070.1
FABP3	FABP3
SERINC2	SERINC2
AC114488.1	AC114488.1
TINAGL1	TINAGL1
HCRTR1	HCRTR1
PEF1	PEF1
AC114488.2	AC114488.2
AC114488.3	AC114488.3
COL16A1	COL16A1
ADGRB2	ADGRB2
AL354919.2	AL354919.2
SPOCD1	SPOCD1
AL354919.1	AL354919.1
AL136115.2	AL136115.2
PTP4A2	PTP4A2
AL136115.1	AL136115.1
AL136115.3	AL136115.3
KHDRBS1	KHDRBS1
AL445248.1	AL445248.1
TMEM39B	TMEM39B
KPNA6	KPNA6
TXLNA	TXLNA
CCDC28B	CCDC28B
AL049795.1	AL049795.1
IQCC	IQCC
DCDC2B	DCDC2B
TMEM234	TMEM234
EIF3I	EIF3I
FAM167B	FAM167B
LCK	LCK
HDAC1	HDAC1
MARCKSL1	MARCKSL1
AL109945.1	AL109945.1
TSSK3	TSSK3
FAM229A	FAM229A
BSDC1	BSDC1
AL033529.1	AL033529.1
ZBTB8B	ZBTB8B
ZBTB8A	ZBTB8A
ZBTB8OS	ZBTB8OS
RBBP4	RBBP4
SYNC	SYNC
AC114489.1	AC114489.1
KIAA1522	KIAA1522
YARS	YARS
S100PBP	S100PBP
FNDC5	FNDC5
HPCA	HPCA
TMEM54	TMEM54
RNF19B	RNF19B
AL020995.1	AL020995.1
AK2	AK2
AZIN2	AZIN2
TRIM62	TRIM62
AL662907.3	AL662907.3
ZNF362	ZNF362
AL513327.3	AL513327.3
A3GALT2	A3GALT2
AL513327.1	AL513327.1
PHC2	PHC2
AL513327.2	AL513327.2
ZSCAN20	ZSCAN20
CSMD2	CSMD2
HMGB4	HMGB4
CSMD2-AS1	CSMD2-AS1
C1orf94	C1orf94
SMIM12	SMIM12
GJB5	GJB5
GJB4	GJB4
AL121988.1	AL121988.1
GJB3	GJB3
GJA4	GJA4
AL122010.1	AL122010.1
DLGAP3	DLGAP3
AC114490.3	AC114490.3
AC114490.2	AC114490.2
TMEM35B	TMEM35B
ZMYM6	ZMYM6
ZMYM1	ZMYM1
AL590434.1	AL590434.1
SFPQ	SFPQ
ZMYM4	ZMYM4
ZMYM4-AS1	ZMYM4-AS1
KIAA0319L	KIAA0319L
NCDN	NCDN
AC004865.2	AC004865.2
TFAP2E	TFAP2E
PSMB2	PSMB2
C1orf216	C1orf216
CLSPN	CLSPN
AL354864.1	AL354864.1
AGO4	AGO4
AGO1	AGO1
AL139286.2	AL139286.2
AGO3	AGO3
AL138787.2	AL138787.2
TEKT2	TEKT2
ADPRHL2	ADPRHL2
COL8A2	COL8A2
TRAPPC3	TRAPPC3
MAP7D1	MAP7D1
THRAP3	THRAP3
SH3D21	SH3D21
EVA1B	EVA1B
AL591845.1	AL591845.1
STK40	STK40
LSM10	LSM10
OSCP1	OSCP1
MRPS15	MRPS15
CSF3R	CSF3R
AL596257.1	AL596257.1
AC117945.2	AC117945.2
AC117945.1	AC117945.1
GRIK3	GRIK3
AL031430.1	AL031430.1
AL353604.1	AL353604.1
LINC01137	LINC01137
ZC3H12A	ZC3H12A
MEAF6	MEAF6
SNIP1	SNIP1
DNALI1	DNALI1
GNL2	GNL2
RSPO1	RSPO1
C1orf109	C1orf109
CDCA8	CDCA8
EPHA10	EPHA10
MANEAL	MANEAL
AL929472.3	AL929472.3
YRDC	YRDC
C1orf122	C1orf122
MTF1	MTF1
AL929472.2	AL929472.2
INPP5B	INPP5B
SF3A3	SF3A3
FHL3	FHL3
UTP11	UTP11
POU3F1	POU3F1
AL139158.2	AL139158.2
AL139158.3	AL139158.3
LINC01343	LINC01343
LINC01685	LINC01685
AL354702.2	AL354702.2
RRAGC	RRAGC
AL139260.1	AL139260.1
MYCBP	MYCBP
AL139260.3	AL139260.3
GJA9	GJA9
RHBDL2	RHBDL2
AKIRIN1	AKIRIN1
NDUFS5	NDUFS5
MACF1	MACF1
AL442071.1	AL442071.1
BMP8A	BMP8A
PABPC4	PABPC4
AL365277.1	AL365277.1
HEYL	HEYL
AL035404.2	AL035404.2
NT5C1A	NT5C1A
HPCAL4	HPCAL4
PPIE	PPIE
BMP8B	BMP8B
OXCT2	OXCT2
AL033527.3	AL033527.3
AL033527.5	AL033527.5
AL033527.4	AL033527.4
TRIT1	TRIT1
MYCL	MYCL
AL033527.2	AL033527.2
MFSD2A	MFSD2A
CAP1	CAP1
PPT1	PPT1
RLF	RLF
TMCO2	TMCO2
AL050341.2	AL050341.2
ZMPSTE24	ZMPSTE24
COL9A2	COL9A2
SMAP2	SMAP2
AL031985.4	AL031985.4
ZFP69B	ZFP69B
ZFP69	ZFP69
AL603839.3	AL603839.3
EXO5	EXO5
AL603839.1	AL603839.1
AL603839.2	AL603839.2
ZNF684	ZNF684
RIMS3	RIMS3
AL031289.1	AL031289.1
NFYC-AS1	NFYC-AS1
NFYC	NFYC
KCNQ4	KCNQ4
CITED4	CITED4
AC119677.1	AC119677.1
CTPS1	CTPS1
SLFNL1-AS1	SLFNL1-AS1
SLFNL1	SLFNL1
SCMH1	SCMH1
AC093151.3	AC093151.3
FOXO6	FOXO6
AC093151.2	AC093151.2
EDN2	EDN2
HIVEP3	HIVEP3
AL445933.2	AL445933.2
AC119676.1	AC119676.1
GUCA2B	GUCA2B
GUCA2A	GUCA2A
FOXJ3	FOXJ3
RIMKLA	RIMKLA
ZMYND12	ZMYND12
PPCS	PPCS
CCDC30	CCDC30
PPIH	PPIH
AC098484.2	AC098484.2
YBX1	YBX1
CLDN19	CLDN19
P3H1	P3H1
C1orf50	C1orf50
AC098484.3	AC098484.3
AC098484.1	AC098484.1
TMEM269	TMEM269
SVBP	SVBP
ERMAP	ERMAP
AL512353.1	AL512353.1
ZNF691	ZNF691
SLC2A1	SLC2A1
SLC2A1-AS1	SLC2A1-AS1
AC099795.1	AC099795.1
FAM183A	FAM183A
EBNA1BP2	EBNA1BP2
CFAP57	CFAP57
TMEM125	TMEM125
C1orf210	C1orf210
TIE1	TIE1
MPL	MPL
AL139289.2	AL139289.2
CDC20	CDC20
ELOVL1	ELOVL1
MED8	MED8
AL139289.1	AL139289.1
SZT2	SZT2
SZT2-AS1	SZT2-AS1
HYI	HYI
PTPRF	PTPRF
AL451062.3	AL451062.3
KDM4A	KDM4A
KDM4A-AS1	KDM4A-AS1
ST3GAL3	ST3GAL3
AL451062.1	AL451062.1
ARTN	ARTN
AL357079.1	AL357079.1
IPO13	IPO13
DPH2	DPH2
ATP6V0B	ATP6V0B
B4GALT2	B4GALT2
CCDC24	CCDC24
SLC6A9	SLC6A9
AL139220.2	AL139220.2
KLF17	KLF17
KLF18	KLF18
DMAP1	DMAP1
ERI3	ERI3
RNF220	RNF220
TMEM53	TMEM53
ARMH1	ARMH1
KIF2C	KIF2C
AL592166.1	AL592166.1
RPS8	RPS8
BEST4	BEST4
PLK3	PLK3
TCTEX1D4	TCTEX1D4
BTBD19	BTBD19
PTCH2	PTCH2
EIF2B3	EIF2B3
HECTD3	HECTD3
UROD	UROD
ZSWIM5	ZSWIM5
LINC01144	LINC01144
HPDL	HPDL
MUTYH	MUTYH
TOE1	TOE1
TESK2	TESK2
CCDC163	CCDC163
MMACHC	MMACHC
PRDX1	PRDX1
AKR1A1	AKR1A1
NASP	NASP
CCDC17	CCDC17
GPBP1L1	GPBP1L1
TMEM69	TMEM69
IPP	IPP
MAST2	MAST2
PIK3R3	PIK3R3
AL358075.4	AL358075.4
AL358075.1	AL358075.1
AL358075.2	AL358075.2
TSPAN1	TSPAN1
AL672043.1	AL672043.1
POMGNT1	POMGNT1
LURAP1	LURAP1
RAD54L	RAD54L
LRRC41	LRRC41
UQCRH	UQCRH
NSUN4	NSUN4
FAAH	FAAH
DMBX1	DMBX1
AL136373.1	AL136373.1
MKNK1-AS1	MKNK1-AS1
KNCN	KNCN
MKNK1	MKNK1
MOB3C	MOB3C
ATPAF1	ATPAF1
TEX38	TEX38
EFCAB14-AS1	EFCAB14-AS1
EFCAB14	EFCAB14
CYP4B1	CYP4B1
CYP4A11	CYP4A11
CYP4X1	CYP4X1
CYP4Z1	CYP4Z1
CYP4A22-AS1	CYP4A22-AS1
CYP4A22	CYP4A22
LINC00853	LINC00853
PDZK1IP1	PDZK1IP1
TAL1	TAL1
AL135960.1	AL135960.1
STIL	STIL
CMPK1	CMPK1
LINC01389	LINC01389
FOXE3	FOXE3
FOXD2-AS1	FOXD2-AS1
FOXD2	FOXD2
LINC01738	LINC01738
TRABD2B	TRABD2B
AL691459.1	AL691459.1
AC096541.1	AC096541.1
AL356289.1	AL356289.1
AL356289.2	AL356289.2
AL109659.1	AL109659.1
SLC5A9	SLC5A9
AL109659.2	AL109659.2
SPATA6	SPATA6
AGBL4	AGBL4
BEND5	BEND5
AC099788.1	AC099788.1
AL590432.1	AL590432.1
ELAVL4	ELAVL4
AL592182.2	AL592182.2
AL592182.1	AL592182.1
AL596275.2	AL596275.2
AL592182.3	AL592182.3
DMRTA2	DMRTA2
FAF1	FAF1
AL049637.1	AL049637.1
CDKN2C	CDKN2C
C1orf185	C1orf185
LINC01562	LINC01562
RNF11	RNF11
AL162430.2	AL162430.2
TTC39A	TTC39A
TTC39A-AS1	TTC39A-AS1
EPS15	EPS15
AC104170.2	AC104170.2
AC104170.1	AC104170.1
OSBPL9	OSBPL9
NRDC	NRDC
AL050343.1	AL050343.1
AL050343.2	AL050343.2
RAB3B	RAB3B
TXNDC12	TXNDC12
KTI12	KTI12
AL445685.1	AL445685.1
TXNDC12-AS1	TXNDC12-AS1
BTF3L4	BTF3L4
ZFYVE9	ZFYVE9
CC2D1B	CC2D1B
AL513218.1	AL513218.1
ORC1	ORC1
PRPF38A	PRPF38A
TUT4	TUT4
AL591167.1	AL591167.1
GPX7	GPX7
SHISAL2A	SHISAL2A
COA7	COA7
ZYG11B	ZYG11B
ZYG11A	ZYG11A
AC099677.4	AC099677.4
ECHDC2	ECHDC2
SCP2	SCP2
PODN	PODN
AL445183.1	AL445183.1
SLC1A7	SLC1A7
AL445183.2	AL445183.2
CPT2	CPT2
AL606760.2	AL606760.2
C1orf123	C1orf123
AL606760.3	AL606760.3
MAGOH	MAGOH
AL606760.1	AL606760.1
LRP8	LRP8
AL355483.4	AL355483.4
AL355483.2	AL355483.2
AL355483.3	AL355483.3
LINC01771	LINC01771
AC119428.1	AC119428.1
AC119428.2	AC119428.2
DMRTB1	DMRTB1
GLIS1	GLIS1
NDC1	NDC1
YIPF1	YIPF1
DIO1	DIO1
HSPB11	HSPB11
LRRC42	LRRC42
LDLRAD1	LDLRAD1
TMEM59	TMEM59
TCEANC2	TCEANC2
AL357673.1	AL357673.1
CDCP2	CDCP2
AL357673.2	AL357673.2
CYB5RL	CYB5RL
MRPL37	MRPL37
SSBP3	SSBP3
SSBP3-AS1	SSBP3-AS1
AL161644.1	AL161644.1
AL035415.1	AL035415.1
AC099796.1	AC099796.1
ACOT11	ACOT11
FAM151A	FAM151A
MROH7	MROH7
